RequestID;SubmitTime;Duration;DataProcessed;Submitter;Status;SessionID;DataProcessedGB
55494463;7/21/21, 11:16:20 PM;3 sec;141.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.141
55492528;7/21/21, 11:16:17 PM;2 sec;28.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.028
55492141;7/21/21, 11:16:12 PM;4 sec;48.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.048
55491869;7/21/21, 11:16:04 PM;8 sec;80.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.08
55491869;7/21/21, 11:16:04 PM;8 sec;80.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.08
55491288;7/21/21, 11:16:01 PM;3 sec;201.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.201
55490581;7/21/21, 11:16:00 PM;0 sec;13.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.013
55490380;7/21/21, 11:15:57 PM;2 sec;21.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.021
55490121;7/21/21, 11:15:56 PM;1 sec;11.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.011
55489904;7/21/21, 11:15:55 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55489831;7/21/21, 11:15:54 PM;1 sec;46.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.046
55489753;7/21/21, 11:15:53 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55489682;7/21/21, 11:15:53 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55488909;7/21/21, 11:15:52 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55488258;7/21/21, 11:15:52 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55487819;7/21/21, 11:15:52 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55486469;7/21/21, 11:15:50 PM;1 sec;121.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.121
55485008;7/21/21, 11:15:49 PM;0 sec;17.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.017
55484588;7/21/21, 11:15:49 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55484048;7/21/21, 11:15:48 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55483280;7/21/21, 11:15:48 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55482969;7/21/21, 11:15:47 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55482859;7/21/21, 11:15:47 PM;0 sec;38.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.038
55482781;7/21/21, 11:15:46 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55482706;7/21/21, 11:15:46 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55482626;7/21/21, 11:15:46 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55481972;7/21/21, 11:15:45 PM;1 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55480966;7/21/21, 11:15:44 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55480780;7/21/21, 11:15:43 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55479239;7/21/21, 11:15:36 PM;6 sec;98.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.098
55479169;7/21/21, 11:15:36 PM;0 sec;12.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.012
55479091;7/21/21, 11:15:36 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55479015;7/21/21, 11:15:35 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55455041;7/21/21, 11:14:09 PM;1 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55454832;7/21/21, 11:14:08 PM;1 sec;26.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.026
55454666;7/21/21, 11:14:07 PM;0 sec;19.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.019
55454453;7/21/21, 11:14:06 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55454276;7/21/21, 11:14:05 PM;1 sec;33.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.033
