timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626512621699,1620,SQL QUERY 20,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,15701,0,1,1,null,1618,0,0
1626512623319,2574,SQL QUERY 21,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,4247,0,1,1,null,2573,0,0
1626512625893,2963,SQL QUERY 22,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,7081,0,1,1,null,2962,0,0
1626512628857,3789,SQL QUERY 23,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,16,0,1,1,null,3788,0,0
1626512632646,1033,SQL QUERY 24,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,43,0,1,1,null,1033,0,0
1626512633680,5406,SQL QUERY 25,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,105,0,1,1,null,5405,0,0
1626512639085,3245,SQL QUERY 26,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,5212,0,1,1,null,3244,0,0
1626512642330,3415,SQL QUERY 27,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,5605,0,1,1,null,3414,0,0
1626512645746,5083,SQL QUERY 28,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,253,0,1,1,null,5082,0,0
1626512650829,5590,SQL QUERY 29,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,113,0,1,1,null,5589,0,0
1626512656419,1422,SQL QUERY 30,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,10635,0,1,1,null,1420,0,0
1626512657841,2212,SQL QUERY 31,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,4120,0,1,1,null,2212,0,0
1626512660053,1593,SQL QUERY 33,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,1249,0,1,1,null,1593,0,0
1626512661646,3370,SQL QUERY 34,200,OK,Spark Thread Group 1 GB Delta SQL_Analytics_small 1-1,text,true,,6518,0,1,1,null,3369,0,0
